	text	label
100	إلعوريتما کومڤوتاسي ونتوک مىوتومىنع سولوسي ادالاه باعيان ڤىنتىنع داري الجابار لينيىر نومىريچ، نعىن مىومى'ىنکان ڤىران ڤىنتىنع دالام تىکنيک، فيسيکا، کيميا، يلمو کومڤوتىر، نعىن ىکونومي.	ace_Arab
5600	نا سجومله كاورجأن سأولم ڤريود ڽو.	ace_Arab
898	باک ىرا مودىرن، ڤىميکى چينا يڤىوتامونع ڤيکىران ـ ڤيکىران داري فيلسافات بارات.	ace_Arab
1100	بق نيبق اورواي ڽواي، كلون جيلونچوركن سراڠن مندادق دان برحاصيل جي سيولوسواي ڬينوسيدا مسسل ڠن ريكن-ريكن اورياوڠ ڽن يڠ هان سادر.	ace_Arab
3988	ڤنليتيان ڽو جوت دباڬي كو دالم كلاسيفيكاسي يڠ بيدا سيسواي دڠن ديسيڤلين اكاديميس دان اڤليكسي جيه	ace_Arab
6041	هاڽ دالم سابوه ديكداي، ڤيڠڬيرن كوتا منيڠكت سيوچارا دراماتيس دالم اوكورن.	ace_Arab
72	إرعومىن لاىن نيانع ڤاياه يهىرىوتو کيبان تاندا نعىن سيمبول لام کىورىوتاه جىوت يواکيل سىسواتو نيانع بىرماکنا کىچوالي نا سىوماچام ماکنا نيانع يتامونع لام نيان لى اسوى ڤيکىران.	ace_Arab
5366	موداي سوسيال جيه ليڤه اندى لم بيدڠ ڤنديديكن موريت تماسوق ڬورى ڠن اوروڠ توه يڠ بردمڤق بق ڤرونو اكادميك انيق ڬوبڽن	ace_Arab
2220	د ڬوبڽن يڠ منموكن ڤوست اوتاق مأنسي يڠ اتو تانوياي ڤأڬاه هاب، بهاڬين لم اوتاق ڽن جينو ڬاوتاڤاو سباڬو بروك يڠ ڬاوبري نن ڬوبڽن.	ace_Arab
2680	ستياڤ ديۏيدن يڠ دباڬي داوڠاون نول هان تردفينيسي.	ace_Arab
1441	توجوان جيه اونتوق ڬو دتكس اورڬانسم ڽڠ سڠڬوڤ ڬوڤوثون ل كونديسي ڬوجق لوءا اڠکاس ڠون ڬوڤوثون كاڤاسيتس ڤروليفراس۔	ace_Arab
3142	"""ضالام بلاچک لىعيون (١٩٣٧) ، سابوه ڤيلىم يىونع يعامبا عراهام عرىىنى """"چاروىنع نعىن مىنععايراهکان، مىويىکا سونععوىهءسونععوىه""""، يجيه يمىوىن سىوباعوى ورىونع عىت يىونع تىوجىوباک نعىون (نعىن يانچوىنيان لى) ڤىرکيمڤولان راسيس."""	ace_Arab
4858	لم بوكو طان ١٩٨٠-ان لاڬي انتروڤولوڬي دان ڤرتموان كولونيال ڬاوڤيك هوبوڠن انتروڤولوڬي ڠن كتيمڤڠن كولونيال، واتيڽن تيوري يڠ ڤلاڠ تركنل لاڬي ات انتونياو ڬرامسچي دان ميچايل فواوچاولت يڠ ڬاڤاييوڬه تنتڠ ككواسأن دان هيڬيموني جاوت كاو سوروتن	ace_Arab
3967	ڤندودوق اصلي اميريك كلاييوه ڤاكي من مندوم بوڠوڠ سباڬاي چارا كاو اوبت ڤڽاكيت اتاو ڤڽاكيت ريبوان طاان	ace_Arab
1261	بيلانعان بولات بىريکوت جيه ادالاه ٤، يىنع مىروڤاکان جوملاه ديعيت ١٤٣٠.	ace_Arab
4380	كڤالا رومه بڠساونڽن اڠڬوتا تورون تمورون دري مجليس بڠساون	ace_Arab
4415	كلومڤوك سچارا كسلوروهن اكن منداڤت منفعة داري كيريج سام، سداڠكن سيدرو اكن تريمڠ داري بنتوان، سمڤاتي، ڠن راكن يڠ لاان جيه	ace_Arab
583	"""اوق ڽن لهيه سيوچارا ميتافوريس ددفينيسيكن سيوباڬاي"" ""سيكريسي سابوه اورڬانيسمى""، ڠن دبدقن دري دوكومن يڠ لهيه سيوچارا ساداي اتاو دڤاوڬيت اونتوق مڠكومونيكاسيكن ڤاوسن ترتنتو كاوبق انق چوچو."""	ace_Arab
3429	ڠيو مونعکىن کارىونا کورىنع جيه ڤىنعىتاهوان ماتىماتيکا؛ ڤاديم بوه ماسالاه هانيا تىوڤىچاهکان لهىه وڤايا سىولاما مىوابادءاباد.	ace_Arab
4735	لادوم داري هاريڬ ڤوڬيت ڤريتزيل ناكيه كارينا ڬت تڤوڠ اتوا بق بيڠوه اورو هان تسديا لى اونتوق دڤوڬيت دڠن چارا لاان	ace_Arab
5308	مندوم ڤراتورن ڤرباتسن د ڤاوداوق اوليه ڤمرينته ناسيونل ڠن لوكل دان جاوت برۏارياسي تأڬانتوڠ نيبق نڠراو ڠن كوندسي ڤوليتيك اتاو ايكونومي ساعت ڽواي.	ace_Arab
1539	تيوري-تيوري ڽو مانتيسيڤاسي ڤركمبڠن فوڠسيونعليسمى لم ارسايتقتور موديرن	ace_Arab
739	ايلمي بسقوي ڽن، ك دترون سلاما ماوطان-تون واتي فرنچو ديقتاتور كاو ڤڠناييأن، ابيودو لوم كرنا كبيجكن بهاس ريسمي يڠ ڬاواونتوڠكن دان دوكوڠن دري مندوم.	ace_Arab
25	"465: """"چوما واتي ڤاوڠاروه ابن الهايتم دان لاانجيه بق اروس فون توليسن-توليسن فيسيق ابد ڤرتيڠوهن لوه ڽن كالوه دكالن سچارا بوتول-بوتول، دڤوڬه لي سچهرامم بهوا ابن الهايتم اداله يڠ فون ڤودوڠ فيسيك موديرن يڠ سيوبوتولجيه جاوت دايفالواسي."""""""	ace_Arab
1187	"بوعارت هانا عالاک باعيان اواي کاريرنيان يىونع بىنچونع نعىون رىمىه، ديسىبوتنيان سىوباعوى ڤىران """"وهيتى ڤانتس ويلليى"""	ace_Arab
1207	بوڬرت كادوه لوم ل ڤيلم ك اخك كو ورنرس، چهاءن لغتنيڠ (١٩٥٠) ڽن ث اينفورچر (١٩٥).	ace_Arab
4799	لام ڠىوـ ضاروينيسمى، ريچهارد ضاوکينس نعىن ڤىندوکونع تىوري رىڤليکاتور بودايا مىوانععاڤ باسا سىوباعوى ڤوڤولاسي ۏيروس ڤيکىران.	ace_Arab
536	اوق تيبيت ادلا اوق اصلي تيبيت اصلي	ace_Arab
1606	جاي ثات كريتيك ترهادڤ تس توريڠ، كريتيك يڠ ڤلاڠ مشهور كموڠكينن برأصل دري چينا يڠ ڤرچوبأن جيه ڬاڤاوبوت لي سأرل.	ace_Arab
6349	"""يڤىوهارىوتو """"تيتيى""""، نيانع فىمينيس لام باسا جىورمان نعىن نيانع ماسکولين لام باسا صڤانيول، ڤىنوتور باسا جىورمان ڤىوعاه """"چانتىک""""، """"ىلىعان""""، """"رىنتان""""، """"دامى""""، """"لاعاک""""، نعىن """"رامڤىنع""""، نعىن ڤىنوتور باسا صڤانيول يڤىوعاه """"رايىک""""، """"بىرباهايا""""، """"ڤانيانع""""، """"تىوعا""""، ""کونع"""" نعىن """"ڤانيانع تهات""."""""	ace_Arab
5828	"""ڽن اداله ڤيثاڬوراس ييڠ مچيڤتاكن اصطلاح""""ماتماتيكا""."""	ace_Arab
1117	بك طن ١٩٩٩, امريكن فيلم إنستيتة مرومڤك أوروتن كو لڤن دري أوروتن دفتار اكتور ڤلڠ هيو بك مسا موه هليود.	ace_Arab
5864	ڽو اداله دسيڤلن ڠن كومونيتس ڤركتق يڠ تيمبول دان برفوكوس كى مڽاتوكن ڤرينسيڤ-ڤرينسيڤ ديساين ڠن ارسيتقتور كى لنسكاڤ ديڬيتل	ace_Arab
5010	لىو إتاماه تومڤات بارو ثىن كايىم إڤىوتيغكات داتا ڤتولىمي	ace_Arab
3672	ڤتا كونتور يڠ دبري لابيل داوڠان بيوتوءي ممبنتو ڤمباچ دڠن باڬه مڠينترڤريتاسيكن بنتوق ميدن.	ace_Arab
28	۷-۱۸ ڤو بنتوقن بينتن جوت نيبق دايره ڤدت ابي ڠن ڬه، يڠ جيتوري سباڬو اون موليكول رقساس	ace_Arab
5821	ڽ دڤاوڬيت دري تانوه ڠن لومڤور تركومڤرسي، بياسا جيه دجمڤو داوڠان باهن لاان اونتوق اتولوڠ اضيسي	ace_Arab
2008	خىودوا، کىاداان کىوساداران نيانع يسىنعاجا هانا يتامونع لام اکاي و فيسيکاليسمى نون ـ رىدوکتيف.	ace_Arab
5073	لي كوتا راييك د مارايك منتيڠ ڬاواوڤراسيكن اڠكوتن عموم كونۏين داوڠان كاوريتا اڤوا، لاڬاي يڠ دڤاوچونتوه اوليه سيستم كاوريتا ديوب تانوه كوتا نيو يورق يڠ لياوبيه ڤوڤولر.	ace_Arab
2791	سمنتارا ستروكتور سكولر جاوله نا ڤاوڠاروه ييڠ لوبيه راييك بق ڤرقمابڠن ارسايتقتور موديرن، نا ڤاديم بوه چونتوه ارسايتقتور موديرن ييڠ ثات ڬيت داڤت دتومڠ د باڠونن كاڬامأن ابد كاو-20	ace_Arab
4597	ڬاوبنتوق سڤورا اونتوق ڬاڤاييوتيهاون بق ليڠكوڠن يڠ بهاي سمڤ تتڤ نا ڬاو مولاي لوم اونتوق كماڠ سل.	ace_Arab
3423	ڠيو ادالاه سيفىت يىنع جىوت ديبوکتيکان داري بيلانعان راسيونال نعىن سيستىم بيلانعان ڤوسيسيونال، نعىن هانا ديڤاکىک سىوباعاي دىفينيسي دالام ماتىماتيکا.	ace_Arab
2365	رعيت جاولتا سچارا عموم ڽن د اڠڬڤ سباڬاي تاتانن ڤاليڠ مييوب	ace_Arab
757	ايموم ڬوسومايڠ دري محراب د مونارا يڠ ڤالڠ رايك۔	ace_Arab
1308	تاڤي، بق ڤادوم-ڤادوم بوه تاومڤت لاڬاي عادة ماوسڤت باهن بوروان نا اكسس بق ستوق ماكنن، لاڬاي ڤادوم-ڤادوم درواي مشاركت د ڤاچيفيف نورثويست دان موڠكن بوديا ناتوفيان مسوليتيق.	ace_Arab
3562	ڤاديم بوه نڠڬرواي باڬين چيت ڤاوريلي اوجين نڠڬرواي باڬين	ace_Arab
4200	كاراقتريستيق يڠ جيتوم دري مندوم ڤڠتاهوان علميه، ترماسوق تيوري اداله كممڤوان اونتوق ڬيڤوڬيت ڤريديقسي يڠ جوت جي ڤلسوكن اتوا جوت جي اوجي	ace_Arab
1267	بيللي د جور ﴿ بيوتي اوف تيه داي، ١٩٦٧﴾ ڬاوچريتا سيدراو اورياواڠ يناڠ بورجواس يڠ بوسن داوڠان ڤرنكاحن جيه دان مموتوسكن اونتوق دڤاولچور ديري جيه	ace_Arab
5130	ماتىماتيکاوان يوناني نعىن إنديا کلاسيک مىوڤىوعىت ستودي تىنتانع تىوري بيلانعان راسيونال، سىوباعاي باعيان داري ستودي وموم تىوري بيلانعان.	ace_Arab
4201	كاراونا ٥×١٧ ﴿= ٨٥﴾ لوبيه راييك دري ٤×١٨ ﴿= ٧٢﴾، هاسي ڤاوبندڠ جيه اداله.	ace_Arab
833	باڠونن دأڠڬڤ ماواساا دري ارسايتق ترتنتو - برونيلليسچي، البرتي، ميچيلڠيلو، ڤللادياو - ڠن كولتوس سيدرواي كلهيه دمولاي	ace_Arab
2527	سابوه لابوراتورياوم فيسيك موڠكن نا اكسيليرتور ڤرتيكل اتوا رواڠ ۏاكوم، السودانڬكن لابوراتورياوم ميتالورڬي جوت نا الت اونتوك چور اتوا ڤوڬليه لوڬم اتوا اونتوك مڠوجي كقواتن جيه.	ace_Arab
2245	دنا ڽن بيوڤوليمر ڤڽڠ يڠ ترديري دري ڤاوت جنوس باس	ace_Arab
1194	بوڠون اللوڤوليڤلويدس ڽن حاصيل دري كاوين سيلڠ انتارا دوا سڤيسيايس بربيدا	ace_Arab
2249	د نورمندي، کاتدرل ڠن ڬورجا رايق بياسا جيه ن ل مونار، جيباڠون سولاما مو ابد-ابد؛ بق اببايي اءوايكس هوممس (جيمولاي ١٠٦٦) ، چن ن سيكوروڠ مونار، جيڤودڠ بق فسد، ترنسڤت، دان د توڠه	ace_Arab
1045	"""بق طان ١٩٦٦، ف.م-٢٠٣٠ ﴿سيڬولوم جيه ف.م ايسفندياري﴾، سيدرو اوريڠ فوتوريتيس ييڠ دڤراوناو ""كونسيڤ بارو مأنسي"""" دي تيه نيو سكول، دي نيو يورق سيتي، مولاي مڠيدنتيفيكاسي اوريڠ-اوريڠ ييڠ مڠادوڤسي تيكنولوڬي، ڬاي اوديڤ، ڠن ڤنداڠن دوڽ ترنسيسي ك ڤوسطامانيتس سباڬاي """"ترنسهومن""""."""	ace_Arab
3630	ڤاوردبن لاان د افريك ماجو سأولم ڤريود ڽواي.	ace_Arab
4144	"ڤيريڠن ڠو ايكيليليڠ لي ليڠكرن هلو سفيرواد دري بينتڠ"" ڤوڤولسي لل ڽن لوبيه توه ،ڠن كونسيتراسي بينتڠ ڽن ريلاتيف ڤدت ڽن دتوري سباڬو ڬوڬوس بولا"	ace_Arab
5485	مىوسىوجيد رايا ضجىننى يڤىوعوت داري بانچو اتو ادوبى رايىوک نيانع ديانععاڤ ل لى ارسيتىک سىباعوى سالاه سابوه ڤىنچاڤايان تىرايىوک عايا ارسيتىکتور صودانوءصاهىليان.	ace_Arab
5981	ڽو مموڠكينكن ڤارا اينسيڽور كاو ڬاڤاييوڬيت موديل ٣د، ڬمبا ٢د، ڠون سكيما ديساين اوق ڽن.	ace_Arab
1193	بوڠوڠ ماوتيهاون بق ايدفيس سوليد ﴿انواي﴾ دان فكتور كليماتيق بق ليڠكوڠن ڽن تاڤي جاوت موديفيكسي فكتور چيت	ace_Arab
195	اد تنتڠ سابوه ڬمبارن ڽن ڬأوڤاكيك حيالن دان كلاييوه دكالوان جاوت ڬاومنفعتكن لي انياوق ميت ڠن چارا تيبا-تيبا دان عالمي	ace_Arab
806	بات ييڠ دڬوناكن بروكورن ٧٠ چم ايك س ٣٥ چم ايك س ٥ چم، ڠن بات بات ڽو دڤاوكومت داوڠان مورتر سأوتوباي كيرا-كيرا ٥ چم	ace_Arab
3276	عقيبة جيه، ڤاديم درو اكاديميسي كلهيه ديو ڤنراڤن ڤرينسيڤ بيوڬيت-ڬيت ييڠ لوبيه كاوتات، داوڠان ڤرستوجوان ڤماسارن ييڠ تتوندا، ڤلابلن ييڠ دتيڠكتكن، ڠن ڤرشرطان ڤڠمبڠن داتا كاوامانن تمبهن سيهوبوڠ دڠين بنتوق-بنتوق نانوتيكنولوڬي ترتنتو.	ace_Arab
596	اوق ڽن ييڠ نا د كتيدرال ساءينت مرق، ۏينيسيا ﴿١٠٧١﴾ سيچارا خصوص ماوناريق ڤرهاتين جوهن روسكين	ace_Arab
2172	دڠن چارا لاڬى ڽن هيڤوتيسيس جيت دتريموڠ ميسوكي لم اريرتي ڤروبابيليستيق اتوا كون ڤستي	ace_Arab
3358	ڠان بانعونان نيان يچوک داري باتىى رىونيىون سڤيرال لام نيان.	ace_Arab
1584	جامن جينو، منوروت سابوه ڤنداڤت، باچوت منتوڠ دري ٥٠٪ يڠ ڬوياكن اکن الله، سدڠکن يڠ لن اݢنوستيک اتاو هنا اݢام	ace_Arab
2520	سابوه كبياساان ناكيه ڤركتيق يڠ نا دانتارا كأقربن	ace_Arab
2239	دنا بارواي جاوت جي ڤاوتامڠ سيوچارا اچق، اتوا جي ترڬيتكن او باڬين ترتنت دري ڬينوم.	ace_Arab
4848	لم ايكونومي ڤريلاكو ڽن ڬڤاكيك موديل ستراتيڬي يڠ دڤيليه اڬين واتى برهوبوڠن دڠن اوروڠ لاان يڠ لادوم كڤنتيڠن جيه مروڬوكن اوق ڽن سيدرو	ace_Arab
4509	كونديس-كونديسي ڽو ڽنكوه؛ هريتابيليتس، ۏارياسي جنيس، ڠن ڤرساءيڠن ڬوڤوربوت سومبر داي يڠ ترباتس	ace_Arab
696	ايستان کڤريسيدنن (ايستان مالاچانڠ) دان محکمه اݢوڠ ن د دالم ايبو کوتا تاڤي دوا ڬودوڠ کوڠݢريس ن د داءيره بينه کوتا يڠ توڤيسه	ace_Arab
3857	ڤڠڬوناان اواا اصطلاح ارسايتقتور موديرن د ميديا چيتق تاوجادي دالم جودول بوكو اوليه اوتتو واڬنر، ييڠ ماوجوك چونتوه ڤاوواكيلن كاريا جيه سيدرواي دري ڤاوميسه وين داوڠان ايلوستراسي ارت نواوۏياو، ڠن اجرن ددقتيق بق موريب-موريب ڽن	ace_Arab
5302	مندل منچاتت بهاوا تڠوه ڤمبنتوكن ڬايمت، الل اونتوك ستيايڤ ڬن مميسهكن سابوه سام لاإيه سمڤو ستيايڤ ڬايمت ساڬو ڤتاموڠ سابوه الل اونتوك ستيايڤ ڬن يڠ دتتاڤكن اوله حكوم سيڬريڬسي جيه	ace_Arab
4072	ڤىتا توڤوڬرافي مىچڠكوڤ ماڽڠ جيه، بياسا جيه رىت ڬاره كونتور	ace_Arab
6219	ورىنع يانع مىبافي، يونيتيد ارتيس، عىلاکى باک ڤيمڤينان ڤرودوکسي يانع کالىن بارانع توبيت اعار عى يکوت ڤىران سىرتا باک باعيان ـ باعيان چىريتا توک	ace_Arab
1290	بيولنجا كاو بارڠ ڠن جاس يڠ بيدا د سابوه لوكاسي ڤوست تنڤا هاروس تڤاييوڬيت ڤرجالنن كاو ڤادوم بوه لوكاسي، ممبنتو منجاڬ ڤوست بيولنجا جاوت كومڤونين دري ڤيڠڬيرن كوتا يڠ درانچڠ بارو يڠ تيڠيه بووميڠ دالم ڤوڤولسي.	ace_Arab
3806	ڤرويسكي اداله سوبجك دري لادوم بيدڠ ماتماتيكا اصلي، ترماسوق ڬيوميتري ديفرنسيل، ڬيومتري ڤرويكتيف، ڬن مانيفولد	ace_Arab
6114	هيڤوتيسيس ڤنسڤيرميا ڬاصولكن بهوا اوديڤ د تاومڤت لاان د تات سوريا موڠكن نا اساا-اصول يڠ ڤاورياوسه.	ace_Arab
4416	كلومڤوك كوهيسيف اتوا كوهيسي سوسيال ڽن مونچول واتى ايكاتن مڠهوبوڠكن اڠڬوتا كلومڤوك سوسيال يڠ سابوه دڠن يڠ لاان سچارا لووه	ace_Arab
4576	"کىوترامڤيلان اکتور توا نيوى مىمادوکانل لىلوچون نعىن کىڤالسوان لاعىى نيان نعىن جانتان نيان سالاه سابوه کىعىمبيراان يىونع هانا تىرهيتونيوى باک سابوىه ڤىرتونجوکان""."""""	ace_Arab
4775	لاڬي دي سباڬيان راييك بيدڠ ستود، لدقن ڤڠتاهوان دي ايرا علميه كلإيه مڽببكن سڤيسياليساسي: جينو نا ماوريتوه بيدڠ خصوص دالم ماتماتيكا ڠن كلاسيفيكاسي مات ڤلاجرن ماتماتيكا بارو مچاڤاي ٤٦ هلامن.	ace_Arab
182	اخك جيه، موڤادوم جنه ڤروتست ڽڠ هنا ميتوكوندريا ديتموكن۔	ace_Arab
3085	صىوباعاي نيلاي اتاو انعکا، نول هانا ساما دىونعىن انعکا نول، ديڤاکىک دالام سيستىم بيلانعان دىونعىن نوتاسي ڤوسيسي.	ace_Arab
819	بارواي-بارواي ڽو، رودا كايي ڤاليڠ توه د دوڽ جي تاوم د ابياوق لجوبلجان د سلوۏنيا.	ace_Arab
3182	ضي إنديا خونو، ڤىنعىتاهوان تىونتانع اسڤىک تىورىتيس نعىن تىوراڤان داري کوادرات نعىن وکهى کوادرات سىوتيداک جيه سيتوها صوترا صولبا، سىوکيتار ٨٠٠٠ـ٥٠٠ صم (مونعکىن جيوه لوبىه اواي).	ace_Arab
4627	"ڬاي ڤلاڠ اواا دالم ارسايتقتور اسلام ماوهاسيكن ماوسجيب ""عرب-ڤلان' اتاو هيڤوستيلي سيلما ديناستي أميه"	ace_Arab
6103	"هيتلر نا شيت دڤأڬاه ماونياي بورجواسي بيسنيس ""هان دتاڤاييو ساڤياو كچوالي كاونتوڠن اوق ڽن"	ace_Arab
1249	بيدانع ڤىوکىمبانع ڤاندانعان جيه کىو فيکسيوناليسمى.	ace_Arab
6077	هم اداله چونتوه ترين كستل بارو اونتوق موبه فيتور سيڬولوم جيه لاڬي مچهيچولاتيونس، مونارا لمبوڠ، ڠون چرنللاتيونس۔	ace_Arab
2729	"""سڤتنتريوناليس مڠواسي داري سڤتنتريونيس،""""توجوه لومو مو'او""""نن اورسا ماڽور"""	ace_Arab
4681	ڬوبڽن مڠهاسيكن كأونتوڠن دڠن ڤوبلو بارڠ ڠون جاس يڠ برهوبوڠن دڠن اولهراڬ	ace_Arab
3892	ڤلانيت ڤلاڠ ماسيف يڠ تردفتر د نسا ايزوڤلانيت ارچهيۏ اداله دنيس-ڤ ج٠٨٢٣٠٣. ١-٤٩١٢٠١ ب، كيسرن ٢٩ ڬي مسسا جوڤيتر، ادق ڤيه منوروت لادوم راياييوق دفينيسي ڤلانيت، ڽن برات ثات ماسيف كاو جاوت سابوه ڤلانيت ڠون موڠكن سابوه بينتڠ كاتا چوكلت سباڬاي ڤأڬانتو جيه.	ace_Arab
